problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_interations; nb_linear_nonzeros; status; time; has_hit_limit 
ID007_M015_J015; minla_fav; 15; 15; True; 1700.9232690505728; 8068.999999966994; 0.7892027179256899; 71535; 22276; 247; 8956826; 254670; time limit exceeded; 3600.092159986496; True;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.017308950424194336; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 1164.0453739589298; nan; 71535; 22276; 9402; 44413; 254670; optimal; 6.132709980010986; False;  
ID008_M015_J015; manne; 15; 15; True; 1207.9999999999982; 1292.9999998164044; 0.06573859228806571; 3375; 1801; 972; 228376678; 9900; time limit exceeded; 3600.0071108341217; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1655.1593275825905; 8451.0; 0.8041463344476782; 71535; 22276; 22026; 11245823; 254670; time limit exceeded; 3600.081412792206; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.021259069442749023; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1169.1992352387272; nan; 71535; 22276; 7604; 35477; 254670; optimal; 5.748632907867432; False;  
ID009_M015_J015; manne; 15; 15; True; 1090.377276649126; 1216.999999999; 0.10404496577647293; 3375; 1801; 1025; 150283554; 9900; time limit exceeded; 3600.0083599090576; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 1502.9642593698154; 8943.0; 0.8319395885754335; 71535; 22276; 225; 10095123; 254670; time limit exceeded; 3600.05669093132; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.022166013717651367; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 1128.8752248836597; nan; 71535; 22276; 7401; 38078; 254670; optimal; 7.104351997375488; False;  
ID000_M015_J020; manne; 15; 20; True; 1137.7806896412644; 1390.0; 0.18145274126526434; 6000; 3151; 1702; 116734921; 17700; time limit exceeded; 3601.187927007675; True;  
